W1,W2,W3,W4,W5,W6,W7,W8,,B1,B2,B3,B4,B5,B6,B7,B8
0.488,0.472,0.431,0.461,0.46,0.431,0.481,0.472,,0.479,0.461,0.421,0.451,0.453,0.418,0.471,0.463
0.492,0.471,0.433,0.462,0.468,0.428,0.482,0.475,,0.486,0.466,0.429,0.459,0.459,0.42,0.476,0.469
0.493,0.474,0.433,0.461,0.471,0.434,0.488,0.477,,0.489,0.472,0.433,0.461,0.463,0.427,0.483,0.474
0.494,0.474,0.433,0.46,0.471,0.435,0.483,0.473,,0.489,0.47,0.43,0.458,0.462,0.425,0.477,0.469
0.496,0.474,0.434,0.465,0.466,0.432,0.483,0.476,,0.488,0.466,0.426,0.455,0.456,0.421,0.474,0.467
0.494,0.472,0.437,0.464,0.463,0.432,0.482,0.472,,0.484,0.46,0.422,0.449,0.453,0.418,0.472,0.461
0.49,0.466,0.431,0.457,0.46,0.413,0.476,0.469,,0.478,0.454,0.417,0.443,0.45,0.404,0.468,0.456
0.491,0.462,0.421,0.455,0.458,0.415,0.476,0.461,,0.482,0.452,0.412,0.439,0.446,0.408,0.466,0.453
0.485,0.453,0.424,0.45,0.446,0.412,0.47,0.459,,0.477,0.446,0.412,0.435,0.442,0.407,0.46,0.449
0.475,0.454,0.418,0.442,0.448,0.417,0.466,0.454,,0.473,0.445,0.409,0.432,0.443,0.41,0.457,0.446
0.483,0.456,0.421,0.452,0.437,0.415,0.467,0.453,,0.473,0.446,0.41,0.436,0.433,0.409,0.458,0.446
0.492,0.466,0.43,0.455,0.442,0.424,0.476,0.459,,0.478,0.451,0.417,0.441,0.436,0.414,0.463,0.45
0.493,0.471,0.433,0.464,0.459,0.428,0.479,0.47,,0.483,0.46,0.423,0.453,0.449,0.419,0.469,0.46
0.496,0.47,0.432,0.463,0.463,0.432,0.478,0.471,,0.49,0.465,0.429,0.459,0.454,0.423,0.472,0.466
0.498,0.469,0.427,0.457,0.462,0.432,0.48,0.47,,0.493,0.467,0.427,0.457,0.455,0.425,0.476,0.467
0.495,0.47,0.428,0.459,0.456,0.429,0.476,0.47,,0.489,0.466,0.426,0.457,0.449,0.424,0.47,0.465
0.485,0.462,0.43,0.458,0.459,0.43,0.473,0.465,,0.48,0.453,0.422,0.451,0.449,0.419,0.466,0.457
0.486,0.462,0.437,0.458,0.446,0.42,0.478,0.464,,0.477,0.452,0.422,0.445,0.441,0.412,0.466,0.455
0.485,0.463,0.431,0.455,0.444,0.422,0.479,0.457,,0.478,0.451,0.417,0.441,0.438,0.413,0.465,0.45
0.48,0.459,0.426,0.458,0.45,0.415,0.476,0.455,,0.474,0.447,0.412,0.439,0.442,0.406,0.462,0.448
0.487,0.457,0.423,0.447,0.457,0.418,0.47,0.46,,0.476,0.447,0.411,0.432,0.444,0.408,0.46,0.449
0.484,0.458,0.422,0.449,0.452,0.411,0.464,0.457,,0.476,0.447,0.411,0.436,0.437,0.405,0.458,0.449
